adjudication_row,component,requirement,root_box_id,record_id,freeze_route_kind,freeze_route_status,min_surplus,extra_split_retained,numeric_clearance_ok,adjudication_status,adjudication_pass,failure_reason,proof_boundary
1,TENSOR,thin_guard_extra_replay_required,D060-00003602,A062-D060-00003602.d1rho1.d2rho0.d3x30.d4y30.d5x50.d6y50.d7rho1.d8x31.d9y31.d10x51.d11y50.d12rho1,p1_extra_split_thin_guard_record_freeze_candidate,frozen_closure_candidate,0.00108823966938,True,True,pass_p1_thin_extra_replay,True,,candidate_final_adjudication_replay_not_external_formalization
2,TENSOR,thin_guard_extra_replay_required,D060-00003602,A062-D060-00003602.d1rho1.d2rho0.d3x30.d4y31.d5x50.d6y50.d7rho1.d8x31.d9y30.d10x51.d11y50.d12rho1,p1_extra_split_thin_guard_record_freeze_candidate,frozen_closure_candidate,0.00108823966938,True,True,pass_p1_thin_extra_replay,True,,candidate_final_adjudication_replay_not_external_formalization
3,TENSOR,thin_guard_extra_replay_required,D060-00003602,A062-D060-00003602.d1rho1.d2rho0.d3x31.d4y30.d5x51.d6y50.d7rho1.d8x30.d9y31.d10x50.d11y50.d12rho1,p1_extra_split_thin_guard_record_freeze_candidate,frozen_closure_candidate,0.00108823966938,True,True,pass_p1_thin_extra_replay,True,,candidate_final_adjudication_replay_not_external_formalization
4,TENSOR,thin_guard_extra_replay_required,D060-00003602,A062-D060-00003602.d1rho1.d2rho0.d3x31.d4y31.d5x51.d6y50.d7rho1.d8x30.d9y30.d10x50.d11y50.d12rho1,p1_extra_split_thin_guard_record_freeze_candidate,frozen_closure_candidate,0.00108823966938,True,True,pass_p1_thin_extra_replay,True,,candidate_final_adjudication_replay_not_external_formalization
5,TENSOR,thin_guard_extra_replay_required,D060-00003602,A062-D060-00003602.d1rho1.d2rho1.d3x30.d4y30.d5x50.d6y50.d7rho0.d8x31.d9y31.d10x51.d11y50.d12rho0,p1_extra_split_thin_guard_record_freeze_candidate,frozen_closure_candidate,0.00108823966938,True,True,pass_p1_thin_extra_replay,True,,candidate_final_adjudication_replay_not_external_formalization
6,TENSOR,thin_guard_extra_replay_required,D060-00003602,A062-D060-00003602.d1rho1.d2rho1.d3x30.d4y31.d5x50.d6y50.d7rho0.d8x31.d9y30.d10x51.d11y50.d12rho0,p1_extra_split_thin_guard_record_freeze_candidate,frozen_closure_candidate,0.00108823966938,True,True,pass_p1_thin_extra_replay,True,,candidate_final_adjudication_replay_not_external_formalization
7,TENSOR,thin_guard_extra_replay_required,D060-00003602,A062-D060-00003602.d1rho1.d2rho1.d3x31.d4y30.d5x51.d6y50.d7rho0.d8x30.d9y31.d10x50.d11y50.d12rho0,p1_extra_split_thin_guard_record_freeze_candidate,frozen_closure_candidate,0.00108823966938,True,True,pass_p1_thin_extra_replay,True,,candidate_final_adjudication_replay_not_external_formalization
8,TENSOR,thin_guard_extra_replay_required,D060-00003602,A062-D060-00003602.d1rho1.d2rho1.d3x31.d4y31.d5x51.d6y50.d7rho0.d8x30.d9y30.d10x50.d11y50.d12rho0,p1_extra_split_thin_guard_record_freeze_candidate,frozen_closure_candidate,0.00108823966938,True,True,pass_p1_thin_extra_replay,True,,candidate_final_adjudication_replay_not_external_formalization
9,TENSOR,thin_guard_extra_replay_required,D060-00008410,A062-D060-00008410.d1rho1.d2rho0.d3x30.d4y31.d5x50.d6y50.d7rho0.d8x31.d9y30.d10x50.d11y51.d12rho0,p1_extra_split_thin_guard_record_freeze_candidate,frozen_closure_candidate,0.00100900405291,True,True,pass_p1_thin_extra_replay,True,,candidate_final_adjudication_replay_not_external_formalization
10,TENSOR,thin_guard_extra_replay_required,D060-00013204,A062-D060-00013204.d1rho0.d2rho0.d3y51.d4x31.d5y30.d6x51.d7rho1.d8y51.d9x30.d10y30.d11x50.d12rho1,p1_extra_split_thin_guard_record_freeze_candidate,frozen_closure_candidate,0.00104170970063,True,True,pass_p1_thin_extra_replay,True,,candidate_final_adjudication_replay_not_external_formalization
11,TENSOR,thin_guard_extra_replay_required,D060-00013204,A062-D060-00013204.d1rho0.d2rho1.d3y51.d4x30.d5y30.d6x50.d7rho0.d8y51.d9x31.d10y30.d11x51.d12rho0,p1_extra_split_thin_guard_record_freeze_candidate,frozen_closure_candidate,0.00104170970063,True,True,pass_p1_thin_extra_replay,True,,candidate_final_adjudication_replay_not_external_formalization
